Video Name,Object,Confidence Score,Time Stamp
video (2160p).mp4,car,0.27,18:43:06
video (2160p).mp4,traffic light,0.31,18:43:06
video (2160p).mp4,pedestrian,0.32,18:43:06
video (2160p).mp4,traffic light,0.33,18:43:06
video (2160p).mp4,car,0.36,18:43:06
video (2160p).mp4,car,0.39,18:43:06
video (2160p).mp4,car,0.41,18:43:06
video (2160p).mp4,car,0.41,18:43:06
video (2160p).mp4,car,0.47,18:43:06
video (2160p).mp4,pedestrian,0.52,18:43:06
video (2160p).mp4,pedestrian,0.54,18:43:06
video (2160p).mp4,car,0.58,18:43:06
video (2160p).mp4,car,0.66,18:43:06
video (2160p).mp4,car,0.66,18:43:06
video (2160p).mp4,car,0.71,18:43:06
video (2160p).mp4,car,0.74,18:43:06
video (2160p).mp4,pedestrian,0.75,18:43:06
video (2160p).mp4,car,0.27,18:43:06
video (2160p).mp4,traffic light,0.31,18:43:06
video (2160p).mp4,pedestrian,0.32,18:43:06
video (2160p).mp4,traffic light,0.33,18:43:06
video (2160p).mp4,car,0.36,18:43:06
video (2160p).mp4,car,0.39,18:43:06
video (2160p).mp4,car,0.41,18:43:06
video (2160p).mp4,car,0.41,18:43:06
video (2160p).mp4,car,0.47,18:43:06
video (2160p).mp4,pedestrian,0.52,18:43:06
video (2160p).mp4,pedestrian,0.54,18:43:06
video (2160p).mp4,car,0.58,18:43:06
video (2160p).mp4,car,0.66,18:43:06
video (2160p).mp4,car,0.66,18:43:06
video (2160p).mp4,car,0.71,18:43:06
video (2160p).mp4,car,0.74,18:43:06
video (2160p).mp4,pedestrian,0.75,18:43:06
video (2160p).mp4,car,0.26,18:43:06
video (2160p).mp4,car,0.26,18:43:06
video (2160p).mp4,car,0.29,18:43:06
video (2160p).mp4,traffic light,0.31,18:43:06
video (2160p).mp4,car,0.33,18:43:06
video (2160p).mp4,car,0.36,18:43:06
video (2160p).mp4,car,0.36,18:43:06
video (2160p).mp4,pedestrian,0.44,18:43:06
video (2160p).mp4,car,0.44,18:43:06
video (2160p).mp4,car,0.45,18:43:06
video (2160p).mp4,car,0.5,18:43:06
video (2160p).mp4,car,0.56,18:43:06
video (2160p).mp4,pedestrian,0.6,18:43:06
video (2160p).mp4,car,0.65,18:43:06
video (2160p).mp4,car,0.65,18:43:06
video (2160p).mp4,pedestrian,0.68,18:43:06
video (2160p).mp4,car,0.71,18:43:06
video (2160p).mp4,car,0.74,18:43:06
video (2160p).mp4,traffic sign,0.26,18:43:06
video (2160p).mp4,pedestrian,0.26,18:43:06
video (2160p).mp4,traffic light,0.26,18:43:06
video (2160p).mp4,car,0.27,18:43:06
video (2160p).mp4,traffic light,0.27,18:43:06
video (2160p).mp4,car,0.28,18:43:06
video (2160p).mp4,car,0.29,18:43:06
video (2160p).mp4,car,0.29,18:43:06
video (2160p).mp4,car,0.31,18:43:06
video (2160p).mp4,traffic light,0.34,18:43:06
video (2160p).mp4,car,0.43,18:43:06
video (2160p).mp4,car,0.47,18:43:06
video (2160p).mp4,car,0.53,18:43:06
video (2160p).mp4,pedestrian,0.55,18:43:06
video (2160p).mp4,car,0.59,18:43:06
video (2160p).mp4,pedestrian,0.62,18:43:06
video (2160p).mp4,car,0.62,18:43:06
video (2160p).mp4,car,0.64,18:43:06
video (2160p).mp4,pedestrian,0.64,18:43:06
video (2160p).mp4,car,0.65,18:43:06
video (2160p).mp4,car,0.71,18:43:06
video (2160p).mp4,car,0.75,18:43:06
video (2160p).mp4,pedestrian,0.26,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,traffic light,0.29,18:43:07
video (2160p).mp4,traffic sign,0.29,18:43:07
video (2160p).mp4,traffic light,0.3,18:43:07
video (2160p).mp4,car,0.3,18:43:07
video (2160p).mp4,car,0.31,18:43:07
video (2160p).mp4,traffic light,0.33,18:43:07
video (2160p).mp4,traffic sign,0.34,18:43:07
video (2160p).mp4,car,0.42,18:43:07
video (2160p).mp4,car,0.44,18:43:07
video (2160p).mp4,car,0.44,18:43:07
video (2160p).mp4,pedestrian,0.46,18:43:07
video (2160p).mp4,car,0.51,18:43:07
video (2160p).mp4,car,0.56,18:43:07
video (2160p).mp4,pedestrian,0.63,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,pedestrian,0.66,18:43:07
video (2160p).mp4,car,0.72,18:43:07
video (2160p).mp4,car,0.74,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,car,0.28,18:43:07
video (2160p).mp4,traffic sign,0.28,18:43:07
video (2160p).mp4,car,0.34,18:43:07
video (2160p).mp4,car,0.34,18:43:07
video (2160p).mp4,car,0.41,18:43:07
video (2160p).mp4,car,0.45,18:43:07
video (2160p).mp4,pedestrian,0.51,18:43:07
video (2160p).mp4,car,0.52,18:43:07
video (2160p).mp4,car,0.59,18:43:07
video (2160p).mp4,pedestrian,0.63,18:43:07
video (2160p).mp4,car,0.63,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,pedestrian,0.66,18:43:07
video (2160p).mp4,car,0.72,18:43:07
video (2160p).mp4,car,0.73,18:43:07
video (2160p).mp4,traffic sign,0.25,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.28,18:43:07
